dataset,features,mtwv,p_fa,p_miss,desc_score
pjt-sw01,20210225-Large-0FT_transformer-L20,0.56,0.0988,0.096,0.73717504
pjt-sw01,20210225-Large-0FT_transformer-L21,0.5526,0.12274,0.02,0.71941095
pjt-sw01,20210225-Large-0FT_transformer-L22,0.5481,0.12862,0.004,0.81692007
pjt-sw01,20210225-Large-0FT_transformer-L23,0.5457,0.12848,0.007,0.87330001
pjt-sw01,20210225-Large-0FT_transformer-L24,0.5544,0.12267,0.018,0.87905281
pjt-sw01,bnf,0.6126,0.07625,0.122,0.8752405
pjt-sw01,mfcc,0.5559,0.12017,0.025,0.79311597
wbp-jk,20210225-Large-0FT_encoder,0.2903,0.01862,0.645,0.88902785
wbp-jk,20210225-Large-0FT_quantizer,0.1198,0.01108,0.842,0.77165231
wbp-jk,20210225-Large-0FT_transformer-L01,0.1923,0.0208,0.735,0.8752989
wbp-jk,20210225-Large-0FT_transformer-L02,0.2421,0.0198,0.689,0.87500346
wbp-jk,20210225-Large-0FT_transformer-L03,0.2662,0.06928,0.492,0.84249681
wbp-jk,20210225-Large-0FT_transformer-L04,0.2271,0.03807,0.64,0.85007808
wbp-jk,20210225-Large-0FT_transformer-L05,0.245,0.06983,0.512,0.83168444
wbp-jk,20210225-Large-0FT_transformer-L06,0.2118,0.03382,0.67,0.86793976
wbp-jk,20210225-Large-0FT_transformer-L07,0.1959,0.11232,0.413,0.83575308
wbp-jk,20210225-Large-0FT_transformer-L08,0.1877,0.11504,0.412,0.84724663
wbp-jk,20210225-Large-0FT_transformer-L09,0.2842,0.08536,0.418,0.85036223
wbp-jk,20210225-Large-0FT_transformer-L10,0.4076,0.05249,0.41,0.84327433
wbp-jk,20210225-Large-0FT_transformer-L11,0.421,0.02924,0.477,0.85733231
wbp-jk,20210225-Large-0FT_transformer-L12,0.3761,0.04493,0.467,0.84076777
wbp-jk,20210225-Large-0FT_transformer-L13,0.4162,0.03595,0.459,0.83525656
wbp-jk,20210225-Large-0FT_transformer-L14,0.3227,0.06094,0.465,0.81790877
wbp-jk,20210225-Large-0FT_transformer-L15,0.3075,0.06496,0.466,0.82619273
wbp-jk,20210225-Large-0FT_transformer-L16,0.2824,0.08244,0.43,0.84730372
wbp-jk,20210225-Large-0FT_transformer-L17,0.2291,0.07145,0.522,0.86123295
wbp-jk,20210225-Large-0FT_transformer-L18,0.2014,0.05649,0.602,0.85039884
wbp-jk,20210225-Large-0FT_transformer-L19,0.2982,0.055,0.51,0.83131486
wbp-jk,20210225-Large-0FT_transformer-L20,0.2373,0.03353,0.646,0.83583422
wbp-jk,20210225-Large-0FT_transformer-L21,0.162,0.0306,0.731,0.86584884
wbp-jk,20210225-Large-0FT_transformer-L22,0.0842,0.04821,0.748,0.91698587
wbp-jk,20210225-Large-0FT_transformer-L23,0.1134,0.00973,0.853,0.94502823
wbp-jk,20210225-Large-0FT_transformer-L24,0.0458,0.0324,0.841,0.93549806
