dataset,features,mtwv,p_fa,p_miss,desc_score
gbb-pd,20210225-Large-0FT_transformer-L23,0.3152,0.08666,0.383,0.92671879
gbb-pd,20210225-Large-0FT_transformer-L24,0.4166,0.07115,0.336,0.93432966
gbb-pd,bnf,0.6136,0.05523,0.194,0.93280337
gbb-pd,mfcc,0.719,0.03946,0.144,0.8875944
gbb-pd,wav2vec2-large-xlsr-53_encoder,0.5855,0.03489,0.293,0.87469259
gbb-pd,wav2vec2-large-xlsr-53_quantizer,0.6334,0.03379,0.249,0.87919197
gbb-pd,wav2vec2-large-xlsr-53_transformer-L01,0.5321,0.05171,0.288,0.89718364
gbb-pd,wav2vec2-large-xlsr-53_transformer-L02,0.5206,0.04977,0.306,0.90145425
gbb-pd,wav2vec2-large-xlsr-53_transformer-L03,0.6074,0.05408,0.204,0.88554642
gbb-pd,wav2vec2-large-xlsr-53_transformer-L04,0.6217,0.04517,0.221,0.89064778
gbb-pd,wav2vec2-large-xlsr-53_transformer-L05,0.6277,0.0402,0.232,0.8804084
gbb-pd,wav2vec2-large-xlsr-53_transformer-L06,0.6916,0.03758,0.177,0.86371042
gbb-pd,wav2vec2-large-xlsr-53_transformer-L07,0.7464,0.03629,0.127,0.85591967
gbb-pd,wav2vec2-large-xlsr-53_transformer-L08,0.7041,0.02813,0.198,0.87327073
gbb-pd,wav2vec2-large-xlsr-53_transformer-L09,0.7218,0.02822,0.18,0.87120339
gbb-pd,wav2vec2-large-xlsr-53_transformer-L10,0.7732,0.02306,0.146,0.866255
gbb-pd,wav2vec2-large-xlsr-53_transformer-L11,0.8043,0.01482,0.144,0.87353966
gbb-pd,wav2vec2-large-xlsr-53_transformer-L12,0.7995,0.02892,0.1,0.85280452
gbb-pd,wav2vec2-large-xlsr-53_transformer-L13,0.7636,0.0333,0.12,0.86238603
gbb-pd,wav2vec2-large-xlsr-53_transformer-L14,0.5923,0.04059,0.266,0.88282516
gbb-pd,wav2vec2-large-xlsr-53_transformer-L15,0.6121,0.04554,0.229,0.88717893
gbb-pd,wav2vec2-large-xlsr-53_transformer-L16,0.6494,0.03718,0.221,0.89037099
gbb-pd,wav2vec2-large-xlsr-53_transformer-L17,0.6393,0.04129,0.217,0.88741802
gbb-pd,wav2vec2-large-xlsr-53_transformer-L18,0.6318,0.04353,0.217,0.88953098
gbb-pd,wav2vec2-large-xlsr-53_transformer-L19,0.6153,0.05412,0.196,0.88283875
gbb-pd,wav2vec2-large-xlsr-53_transformer-L20,0.5286,0.05047,0.296,0.89897316
gbb-pd,wav2vec2-large-xlsr-53_transformer-L21,0.6065,0.04763,0.228,0.89915125
gbb-pd,wav2vec2-large-xlsr-53_transformer-L22,0.0149,0.00485,0.968,0.99621808
gbb-pd,wav2vec2-large-xlsr-53_transformer-L23,0.0158,0.00421,0.97,0.99613928
gbb-pd,wav2vec2-large-xlsr-53_transformer-L24,0.0146,0.00748,0.959,0.99621462
gos-kdl,20210225-Large-0FT_encoder,0.4495,0.07524,0.288,0.87028212
gos-kdl,20210225-Large-0FT_quantizer,0.2257,0.03847,0.64,0.79663567
gos-kdl,20210225-Large-0FT_transformer-L01,0.3655,0.04746,0.469,0.87150115
